Full_date_start,Year_start,Month_start,Day_start,Full_date_end,Year_end,Month_end,Day_end,Country,Location,Type,Sub_Type,Name,Killed,Cost_dollars,Affected,Id
1082003,2003,8,10,20082003,2003,8,20,France,Paris region - all countr,Extreme temperature,Heat wave,,19490,,4400,2003-0391
121974,1974,12,,1976,1976,,,Somalia,North West to Central are,Drought,Drought,,19000,230000,,1973-9005
1933,1933,,,1933,1933,,,China P Rep,"Henan, Hebei, Shandong, J",Flood,General flood,,18000,3600000,,1933-0013
17081999,1999,8,17,17081999,1999,8,17,Turkey,"Izmit, Kocaeli, Yalova, G",Earthquake (seismic activity),Earthquake (ground shaking),,17127,1358953,20000,1999-0268
26122004,2004,12,26,26122004,2004,12,26,India,"Tamil Nadu state, Andaman",Earthquake (seismic activity),Tsunami,,16389,654512,1022.8,2004-0659
1082003,2003,8,10,11082003,2003,8,11,Spain,Andalousia,Extreme temperature,Heat wave,,15090,,880,2003-0391
24051985,1985,5,24,28051985,1985,5,28,Bangladesh,"Urir, Jabbar, Bata, Darbe",Storm,Tropical cyclone,,15000,1810000,50,1985-0063
21011917,1917,1,21,21011917,1917,1,21,Indonesia,Bali,Earthquake (seismic activity),Earthquake (ground shaking),,15000,,,1917-0003
25101998,1998,10,25,8111998,1998,11,81,Honduras,Coastal Area,Storm,Tropical cyclone,Mitch,14600,2112000,3793.6,1998-0345
12111977,1977,11,12,12111977,1977,11,12,India,"Tamil Nadu, Andhra Prades",Storm,Tropical cyclone,,14204,14469800,498.535,1977-0133
61965,1965,6,,61965,1965,6,,Bangladesh,,Storm,Tropical cyclone,,12047,,,1965-0034
21101907,1907,10,21,21101907,1907,10,21,China P Rep,Tien Shan,Earthquake (seismic activity),Earthquake (ground shaking),,12000,,,1907-0006
91962,1962,9,,91962,1962,9,,Iran Islam Rep,Qazvin,Earthquake (seismic activity),Earthquake (ground shaking),,12000,103000,30,1962-0006
29021960,1960,2,29,29021960,1960,2,29,Morocco,Agadir,Earthquake (seismic activity),Earthquake (ground shaking),,12000,25000,120,1960-0010
21101907,1907,10,21,21101907,1907,10,21,Soviet Union,"Samarkand (Uzbekistan), T",Earthquake (seismic activity),Earthquake (ground shaking),,12000,,,1907-0007
1949,1949,,,1949,1949,,,Soviet Union,Khait (Tadzhikistan),Mass movement wet,Landslide,,12000,,,1949-0001
9051961,1961,5,90,9051961,1961,5,90,Bangladesh,Megna Eestuary,Storm,Tropical cyclone,,11000,,11.9,1961-0004
1900,1900,,,1900,1900,,,Cape Verde Is,Countrywide,Drought,Drought,,11000,,,1900-9002
1091937,1937,9,10,2091937,1937,9,20,Hong Kong (China),,Storm,Tropical cyclone,,11000,,,1937-0011
91947,1947,9,,91947,1947,9,,Egypt,Nationwide,Epidemic,Bacterial Infectious Diseases,Cholera,10276,,,1947-0007
15011944,1944,1,15,15011944,1944,1,15,Argentina,San Juan,Earthquake (seismic activity),Earthquake (ground shaking),,10000,155000,,1944-0002
1960,1960,,,1960,1960,,,Bangladesh,,Flood,,,10000,,,1960-0001
4021975,1975,2,40,4021975,1975,2,40,China P Rep,Anshan Liaoning province,Earthquake (seismic activity),Earthquake (ground shaking),,10000,,,1975-0017
11970,1970,1,,11970,1970,1,,China P Rep,Yunnan province,Earthquake (seismic activity),Earthquake (ground shaking),,10000,,,1970-0010
25091933,1933,9,25,25091933,1933,9,25,China P Rep,,Earthquake (seismic activity),Earthquake (ground shaking),,10000,,,1933-0021
13021918,1918,2,13,13021918,1918,2,13,China P Rep,Kwangtung (Guangdong),Earthquake (seismic activity),Earthquake (ground shaking),,10000,,,1918-0020
8091906,1906,9,80,8091906,1906,9,80,Hong Kong (China),,Storm,Tropical cyclone,,10000,,20,1906-0015
31081968,1968,8,31,31081968,1968,8,31,Iran Islam Rep,Khorasan province,Earthquake (seismic activity),Earthquake (ground shaking),,10000,79050,35,1968-0068
23121972,1972,12,23,23121972,1972,12,23,Nicaragua,Managua,Earthquake (seismic activity),Earthquake (ground shaking),,10000,720000,845,1972-0067
15121965,1965,12,15,15121965,1965,12,15,Pakistan,Karachi,Storm,Tropical cyclone,,10000,,,1965-0069
28101999,1999,10,28,30101999,1999,10,30,India,"Kendrapara, Jagatsinghpur",Storm,Tropical cyclone,05B,9843,12628312,2500,1999-0425
29091993,1993,9,29,29091993,1993,9,29,India,"Killari, Haegoan, Sostour",Earthquake (seismic activity),Earthquake (ground shaking),,9748,30000,280,1993-0074
27101971,1971,10,27,27101971,1971,10,27,India,"East coast, Orissa state",Storm,Tropical cyclone,,9658,6900000,30,1971-0058
19091985,1985,9,19,19091985,1985,9,19,Mexico,"Mexico city, Michoacan, J",Earthquake (seismic activity),Earthquake (ground shaking),,9500,2130204,4104,1985-0109
82003,2003,8,,82003,2003,8,,Germany,,Extreme temperature,Heat wave,,9355,,1650,2003-0391
15011934,1934,1,15,15011934,1934,1,15,Nepal,Eastern Nepal,Earthquake (seismic activity),Earthquake (ground shaking),,9040,,,1934-0001
26122004,2004,12,26,26122004,2004,12,26,Thailand,"Krabi, Phang Nga, Phuket,",Earthquake (seismic activity),Tsunami,,8345,67007,1000,2004-0659
18091974,1974,9,18,21091974,1974,9,21,Honduras,Widespread,Storm,Tropical cyclone,Fifi,8000,600000,540,1974-0047
11966,1966,1,,1966,1966,,,Indonesia,"Lombok, South",Drought,Drought,,8000,204000,,1966-9004
18081991,1991,8,18,18081991,1991,8,18,Peru,,Epidemic,,,8000,,,1991-0217
91988,1988,9,,91988,1988,9,,Ethiopia,"Addis Abeba, Asab, Arsi, ",Epidemic,Bacterial Infectious Diseases,,7385,41139,,1988-0619
6051991,1991,5,60,6051991,1991,5,60,Nigeria,"Bauchi State, Kaduna",Epidemic,Bacterial Infectious Diseases,Cholera,7289,10000,,1991-0153
91964,1964,9,,111964,1964,11,,Viet Nam,China sea coast,Storm,Tropical cyclone,Iris,7000,700000,50,1964-0063
111918,1918,11,,111918,1918,11,,New Zealand,,Epidemic,Viral Infectious Diseases,Influenza,6700,,,1918-0019
61980,1980,6,,61980,1980,6,,China P Rep,"Sichuan, Anhui, Hubei",Flood,,,6200,67000,160,1980-0331
21051960,1960,5,21,21051960,1960,5,21,Chile,"Puerto Montt, Valdivia (A",Earthquake (seismic activity),Earthquake (ground shaking),,6000,2003000,550,1960-0013
5081949,1949,8,50,5081949,1949,8,50,Ecuador,"Pelileo, Ambato",Earthquake (seismic activity),Earthquake (ground shaking),,6000,100000,20,1949-0010
24101902,1902,10,24,24101902,1902,10,24,Guatemala,,Volcano,Volcanic eruption,Santa Maria,6000,,,1902-0010
15011934,1934,1,15,15011934,1934,1,15,India,Bihar province,Earthquake (seismic activity),Earthquake (ground shaking),,6000,,,1934-0001
16081976,1976,8,16,16081976,1976,8,16,Philippines,"Gulf of Moro, Sulu",Earthquake (seismic activity),Earthquake (ground shaking),,6000,181348,134,1976-0054
17031906,1906,3,17,17031906,1906,3,17,Taiwan (China),"Kagi, Toroku",Earthquake (seismic activity),Earthquake (ground shaking),,6000,,,1906-0001
29041903,1903,4,29,29041903,1903,4,29,Turkey,Malazgirt,Earthquake (seismic activity),Earthquake (ground shaking),,6000,,,1903-0007
